paper_subject,reference_subject,counts
25,13.0,3665
25,15.0,5173
25,16.0,11817
25,17.0,45
25,19.0,8
25,21.0,2
25,22.0,1602
25,23.0,568
25,24.0,509
25,25.0,29502
25,26.0,58
25,27.0,2141
25,28.0,348
25,29.0,31
25,30.0,2616
25,31.0,3975
25,32.0,5
25,33.0,106
25,34.0,20
25,35.0,464
25,36.0,22
26,10.0,2216
26,11.0,2629
26,12.0,30
26,13.0,4118
26,15.0,32
26,16.0,288
26,17.0,954
26,18.0,22
26,19.0,12
26,20.0,1
26,22.0,900
26,23.0,44
26,24.0,218
26,25.0,10
26,26.0,12364
26,27.0,3011
26,28.0,1605
26,29.0,58
26,30.0,190
26,31.0,683
26,32.0,107
26,33.0,33
26,34.0,23
26,35.0,19
26,36.0,43
27,10.0,161985
27,11.0,17829
27,12.0,953
27,13.0,579734
27,14.0,8
27,15.0,3851
27,16.0,6477
27,17.0,8383
27,18.0,8
27,19.0,457
27,20.0,191
27,22.0,17877
27,23.0,8800
27,24.0,204982
27,25.0,721
27,26.0,7291
27,27.0,3497517
27,28.0,192873
27,29.0,62062
27,30.0,75531
27,31.0,7293
27,32.0,58321
27,33.0,21436
27,34.0,18796
27,35.0,12924
27,36.0,24071
28,10.0,181372
28,11.0,6927
28,12.0,435
28,13.0,191259
28,15.0,371
28,16.0,1007
28,17.0,6039
28,19.0,38
28,20.0,21
28,21.0,1
28,22.0,5416
28,23.0,474
28,24.0,11741
28,25.0,94
28,26.0,1486
28,27.0,198560
28,28.0,1229392
28,29.0,2533
28,30.0,57299
28,31.0,3492
28,32.0,72661
28,33.0,637
28,34.0,534
28,35.0,544
28,36.0,2325
29,10.0,1177
29,11.0,1120
29,12.0,68
29,13.0,7768
29,15.0,18
29,16.0,492
29,17.0,44
29,19.0,13
29,20.0,5
29,22.0,158
29,23.0,171
29,24.0,867
29,25.0,6
29,26.0,188
29,27.0,75746
29,28.0,2135
29,29.0,56612
29,30.0,1137
29,31.0,86
29,32.0,4080
29,33.0,2325
29,34.0,125
29,35.0,200
29,36.0,1141
30,10.0,25955
30,11.0,5011
30,12.0,24
30,13.0,108266
30,15.0,5747
30,16.0,12031
30,17.0,200
30,19.0,30
30,21.0,2
