paper_subject,reference_subject,norm_counts
10,10,0.0
10,11,0.008153315643914022
10,12,7.97251814745436e-06
10,13,0.10293975559026268
10,15,0.0007921005313283997
10,16,0.0051564456163379745
10,17,0.0005088381029356031
10,19,0.00030823693987147604
10,20,1.7709789946724383e-05
10,22,0.0005324577719976759
10,23,0.0008662434472494312
10,24,0.05215319687429197
10,25,0.0003723753889766257
10,26,0.0010116188001477926
10,27,0.06469214371872495
10,28,0.1325048533049635
10,29,0.003830056808103825
10,30,0.06003492850583597
10,31,0.06724056950665278
10,32,0.11277468359510245
10,33,0.05808540562953132
10,34,0.09425366337318727
10,35,0.07284420855183138
10,36,0.1609192199906586
11,10,0.04135765387570543
11,11,0.0
11,12,4.335939282186312e-05
11,13,0.11334270140373255
11,14,4.352086832724359e-06
11,15,0.001176180113013372
11,16,0.006468590517103869
11,17,0.002646664020858121
11,18,3.4604393080563516e-06
11,19,0.0007359343446516684
11,20,1.6215814270646264e-05
11,21,4.633510274615566e-06
11,22,0.0007483313139015628
11,23,0.009415582428825816
11,24,0.05573944618474743
11,25,0.0002694880045590669
11,26,0.005310318968541192
11,27,0.08916271000277884
11,28,0.08191408856543593
11,29,0.020807553421265383
11,30,0.053776323094703836
11,31,0.011716439634235827
11,32,0.07033807668770185
11,33,0.03877473728819194
11,34,0.15737572438045916
11,35,0.061619758371319736
11,36,0.17723167613475935
12,10,0.015406655887983685
12,11,0.008909997432494305
12,12,0.0
12,13,0.010170018129172077
12,15,0.0005168727961693235
12,17,0.006902977744071599
12,20,0.00035289150602195424
12,22,0.004592740892014917
12,23,0.0010755637537220306
12,24,0.002158506387605909
12,26,0.003441243639613236
12,27,0.07160029227393552
12,28,0.06590560469350376
12,29,0.014993686475926275
12,30,0.002833859598849525
12,31,0.10644084883625897
12,32,0.2525189850706253
12,33,0.1187007615554986
12,34,0.0038733342220588977
12,35,0.003921037898111826
12,36,0.3056841212063621
13,10,0.06574800878248721
13,11,0.018299956500398847
13,12,1.4900048475175103e-05
13,13,0.0
13,15,0.0016163595869634366
13,16,0.006669911534320187
13,17,0.0008122233374221947
13,18,7.542191847525733e-07
13,19,4.811938612101047e-05
13,20,4.5265472509603036e-07
13,21,4.5265586628217533e-07
13,22,0.0008463177183073615
13,23,0.0010934926421392603
13,24,0.037770653435455784
13,25,0.00040255472527449086
13,26,0.0012194770388398734
13,27,0.12049324201533393
13,28,0.11550851700489835
13,29,0.011106101412998491
13,30,0.13807005394125108
13,31,0.045111225721857016
13,32,0.02368343029384853
13,33,0.01014371793469735
13,34,0.0812080985132939
13,35,0.1410716453678834
13,36,0.17906033352795686
14,10,0.05225614912165908
14,14,0.0
14,18,0.014646187124063615
14,20,0.10571288457577588
14,26,0.038601781262336037
14,27,0.10474923585329342
14,29,0.02661327579034593
14,32,0.39359814276418537
14,33,0.26382234350834083
15,10,0.02791498193144032
15,11,0.002422468109559509
15,12,4.195548049243753e-06
15,13,0.07101104272085369
15,15,0.0
15,16,0.03535586637320085
15,17,0.0002181148163407401
15,19,4.517323755463284e-05
15,20,2.2591386797234312e-05
15,21,1.5062514374766379e-05
15,22,0.03503034239920892
15,23,0.006592184346987718
15,24,0.019847498347467102
15,25,0.016683556621875067
15,26,0.0009108048332271773
15,27,0.09094543840803734
15,28,0.022325233697877412
15,29,0.0008445452162759758
15,30,0.15331601600708347
15,31,0.07846202435480175
15,32,0.0007256724095584282
15,33,0.004611552111712857
15,34,0.025921742251432137
15,35,0.2048883022688977
15,36,0.20188559008738607
16,10,0.034221603344079136
16,11,0.00654935109694312
16,12,5.3196371962820735e-06
16,13,0.08803334705226405
16,15,0.022088128334655958
16,16,0.0
16,17,0.0002890626678477584
16,19,0.0002499171830163646
16,21,1.2208417637077545e-05
16,22,0.004706671477979907
16,23,0.013620448544589986
16,24,0.018508887540284843
16,25,0.009439841368497102
16,26,0.010584968237602237
16,27,0.05290757030172991
16,28,0.014435830105562718
16,29,0.0048161422524461255
16,30,0.1202208111668479
16,31,0.15745738310136506
16,32,0.0077751589537079875
16,33,0.05929318083914412
16,34,0.0906526485715869
16,35,0.1175242509635014
16,36,0.1666072688415141
17,10,0.021804411427474427
17,11,0.004161795556359938
17,12,5.46272677796555e-05
17,13,0.05303520207965343
17,15,0.0006064708009664062
17,16,0.002138504841869924
17,17,0.0
17,18,9.073442197478552e-05
17,19,0.0002949823404281627
17,20,2.2714849389831463e-05
17,21,0.00011358344973241243
17,22,0.07417732847918476
17,23,0.0013287922670198668
17,24,0.0033533250497937684
17,25,0.0006285034690391737
17,26,0.02513363190033948
17,27,0.11278728620982985
17,28,0.1630559694135459
17,29,0.0027664421210404503
17,30,0.009359903719845287
17,31,0.13932027251269716
17,32,0.07753529580058945
17,33,0.008729731893888391
17,34,0.004095414077075827
17,35,0.016208563574030083
17,36,0.2791965124764514
18,11,0.0062293987271340575
18,13,0.0063267089477662035
18,17,0.057843740829401184
18,18,0.0
18,20,0.014994627560215454
18,22,0.14790722112613758
18,23,0.04894022132675275
18,26,0.30552501940687843
18,27,0.213361921651625
18,32,0.19887114042408946
19,10,0.0837987082279402
19,11,0.03860396850625073
19,12,0.00010937915822874368
19,13,0.04705966100480203
19,15,0.0015911351083634792
19,16,0.012688837545380877
19,17,0.006243633514172931
19,19,0.0
19,20,0.00016129841260389426
19,21,0.0001614330540782826
19,22,0.021650101337124902
19,23,0.049122494550294125
19,24,0.0892573775554536
19,25,0.0013582009374447626
19,26,0.007294892756139309
19,27,0.1094418963335829
19,28,0.035940220963516116
19,29,0.006681138014127539
19,30,0.040128470981659836
19,31,0.0993592812510161
19,32,0.010662655558890257
19,33,0.12776380487127234
19,34,0.09616998246271376
19,35,0.04033562070356633
19,36,0.07441580719137714
20,10,0.06357576008581685
20,11,0.01432342834741531
20,13,0.011407082141409878
20,14,0.0046902191388624856
20,17,0.0011857959110918935
20,18,0.00475661178049137
20,19,0.001202773225503094
20,20,0.0
20,22,0.0012062270737334142
20,23,0.007258204717298888
20,24,0.0036929112660112453
20,26,0.0223539776563863
20,27,0.2282330472312823
20,28,0.04020003004824888
20,29,0.00952190818070968
20,32,0.17535044187263782
20,33,0.4110415813231006
21,10,0.04295666542075632
21,11,0.0029867342871903275
21,13,0.059818383499421174
21,15,0.024263504345707686
21,16,0.03622084677624059
21,17,0.005001926233046693
21,21,0.0
21,22,0.13155416420202634
21,23,0.012253852687662714
21,24,0.06639581012448857
21,25,0.005723669913872253
21,26,0.008775305959816617
21,27,0.20270193507484768
21,28,0.11611356322497188
21,29,0.022311730161345692
21,30,0.09679483079443407
21,31,0.1092701553570659
21,32,0.05685692193710541
22,10,0.011714239246727915
22,11,0.0016150938782640207
22,12,4.4534260059451815e-05
22,13,0.026931281169964558
22,14,6.233178028041166e-06
22,15,0.024091828332825638
22,16,0.004644837281117347
22,17,0.04032697481528722
22,18,0.00015877383480181285
22,19,0.0015134822134943641
22,20,5.8885731564310144e-05
22,21,0.00012621317060449542
22,22,0.0
22,23,0.0019614925707265554
22,24,0.0021804882490191204
22,25,0.01195603098381399
22,26,0.017716722347157203
22,27,0.1472501843807203
22,28,0.06299119199364818
22,29,0.004423400239441052
22,30,0.025376804133370262
22,31,0.13981313854818744
22,32,0.030698774175882664
22,33,0.03083875592326165
22,34,0.0035641094529152077
22,35,0.1585507815360464
22,36,0.2514457483530709
23,10,0.014812970102508009
23,11,0.02493023156810084
23,12,4.672945526596581e-05
23,13,0.04504819195606388
23,15,0.006660871817931135
23,16,0.02570001980812156
23,17,0.0005019110125748233
23,18,5.242001026458964e-06
23,19,0.002437597310933698
23,20,1.592953005055456e-05
23,21,1.5930857377610574e-05
23,22,0.001975590930809223
23,23,0.0
23,24,0.039843870497583
23,25,0.0009151513319888662
23,26,0.0011852014461799828
23,27,0.0814802419451291
23,28,0.013831527087425258
23,29,0.00298718206220724
23,30,0.17229164773865266
23,31,0.06098217988224355
23,32,0.022718590803221344
23,33,0.03877836042049599
23,34,0.14534013254002545
23,35,0.11929336764592055
23,36,0.17820133024816326
24,10,0.04256416399904931
24,11,0.007954478461822524
24,12,3.736917775210924e-06
24,13,0.09900188379825753
24,15,0.0008804701185914158
24,16,0.0031335387632348485
24,17,0.0010186763043641082
24,18,6.505950313933151e-07
24,19,0.00013597481613522748
24,20,6.510520997692403e-07
24,21,1.3021085556433698e-06
24,22,0.0002063855869685831
24,23,0.004097551125604044
24,24,0.0
24,25,9.853362053086805e-05
24,26,0.00024978936166984754
24,27,0.16884785572231073
24,28,0.057789689681712164
24,29,0.005962397786796443
24,30,0.06499041670562611
24,31,0.0034297051239258656
24,32,0.0015817868309171965
24,33,0.0007973741124692323
24,34,0.16382533861476212
24,35,0.18469008044970894
24,36,0.18873756834208089
25,10,0.022383195062593977
25,11,0.002531542161446852
25,13,0.023768528070837604
25,15,0.037714703265399684
25,16,0.10446571562503514
25,17,0.0007732468682905423
25,19,0.000137961904650374
25,21,3.4512605140531296e-05
25,22,0.027649031599646632
25,23,0.011248601577183008
25,24,0.010636211254471024
25,25,0.0
25,26,0.0012750104935550456
25,27,0.04734602477472483
25,28,0.009866719370581771
25,29,0.0009211710371604095
25,30,0.07806915914562944
25,31,0.18616992253605155
25,32,0.0017361254411848905
25,33,0.03710478890166706
25,34,0.008457033355603678
25,35,0.2042145970542632
25,36,0.18349619789488295
26,10,0.024478823617811788
26,11,0.033322460469230666
26,12,0.0004608537125400914
26,13,0.06341324358438405
26,15,0.0007386074662733551
26,16,0.006673337109397043
26,17,0.022907779557632117
26,18,0.000600466806672109
26,19,0.00032856281551905085
26,20,2.742753162108889e-05
26,22,0.024688332371885974
26,23,0.0013866612907128231
26,24,0.006920642198731819
26,25,0.00032942592465918017
26,26,0.0
26,27,0.09936193419692314
26,28,0.11068327945504572
26,29,0.00954110038561182
26,30,0.03290171880746109
26,31,0.14293672467518004
26,32,0.08938328222295856
26,33,0.051732791823127885
26,34,0.049346054981051116
26,35,0.05479851383238414
26,36,0.1730379751631855
27,10,0.02486490451615996
27,11,0.003069876979579564
27,12,0.00016631990779701346
27,13,0.10125009281711587
27,14,2.503217112373585e-06
27,15,0.001204999300484226
27,16,0.0020374028528456828
27,17,0.0026606088210914666
27,18,2.5688776860863985e-06
27,19,0.00014674878290136582
27,20,6.137194428846371e-05
27,22,0.005745760012541175
27,23,0.002901106723508603
27,24,0.06844315617069076
27,25,0.0003432659719095937
27,26,0.0034764311384413798
27,27,0.0
27,28,0.09338066738065552
27,29,0.050713354528959725
27,30,0.07926007632962613
27,31,0.011699756660589694
27,32,0.09859499470066124
27,33,0.06360487712886519
27,34,0.077198662840981
27,35,0.08004751619424999
27,36,0.229122976201258
28,10,0.05808736694076101
28,11,0.002932042653539513
28,12,0.00018641564189864944
28,13,0.08202652191614741
28,15,0.00024242554569036157
28,16,0.000658681200970141
28,17,0.0039610559588980345
28,19,2.5345291918914624e-05
28,20,1.4008096176506775e-05
28,21,6.670913496643442e-07
28,22,0.0036129768475763203
28,23,0.0003210621163680976
28,24,0.007963434043516708
28,25,6.59568837377749e-05
28,26,0.001042968307016896
28,27,0.1399735384211075
28,28,0.0
28,29,0.004317660126065569
28,30,0.09946913206473228
28,31,0.010393249300665784
28,32,0.2261066054406172
28,33,0.03760902247991015
28,34,0.037423048200637125
28,35,0.04521025736373023
28,36,0.23835655806696826
29,10,0.0032228625334424967
29,11,0.003103657675821234
29,12,0.00019061719977641063
29,13,0.021790523381701555
29,15,5.4903117038722226e-05
29,16,0.0015009889811308285
29,17,0.0001349816480725094
29,19,3.9900795287055335e-05
29,20,1.5348717295884306e-05
29,22,0.00048504691029859805
29,23,0.0005258961438986519
29,24,0.002671564800086233
29,25,1.867222400504149e-05
29,26,0.0005851032920234769
29,27,0.23625016247817546
29,28,0.051573392750714764
29,29,0.0
29,30,0.03391222502332518
29,31,0.00293146652034892
29,32,0.14059332993866788
29,33,0.16628984311349276
29,34,0.023091755284825
29,35,0.040381917705715635
29,36,0.2706358397648557
30,10,0.015043771853957147
30,11,0.003149692592787941
30,12,1.5335358543189087e-05
30,13,0.0691845721892336
30,15,0.005721403396482758
30,16,0.012342956628069208
30,17,0.00021918996804709564
30,19,3.291584089105881e-05
30,21,2.1947633374859416e-06
30,22,0.0011072706830561763
30,23,0.010862813341359823
30,24,0.015885022483908443
30,25,0.0007225016464916714
30,26,0.0004655693733009028
